,IIV HD,IIV ID,IIV IM,LAIV,age_group,base_overall_coverage,choice,exp_id,multiplier,overall_coverage
129,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,18,0.0325,0.65
130,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,18,0.0325,0.5533750000000001
131,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,18,0.0325,0.704
132,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,18,0.0325,0.35550000000000004
133,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,19,0.0325,0.7053750000000001
134,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,19,0.0325,0.453
135,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,19,0.0325,0.61
136,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,19,0.0325,0.65
137,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,19,0.0325,0.5533750000000001
138,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,19,0.0325,0.704
139,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,19,0.0325,0.35550000000000004
140,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,20,0.0325,0.7053750000000001
141,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,20,0.0325,0.453
142,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,20,0.0325,0.61
143,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,20,0.0325,0.65
144,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,20,0.0325,0.5533750000000001
145,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,20,0.0325,0.704
146,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,20,0.0325,0.323
147,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,21,0.0325,0.7053750000000001
148,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,21,0.0325,0.453
149,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,21,0.0325,0.61
150,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,21,0.0325,0.65
151,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,21,0.0325,0.529
152,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,21,0.0325,0.704
153,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,21,0.0325,0.35550000000000004
154,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,22,0.0325,0.7053750000000001
155,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,22,0.0325,0.453
156,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,22,0.0325,0.61
157,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,22,0.0325,0.65
158,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,22,0.0325,0.529
159,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,22,0.0325,0.704
160,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,22,0.0325,0.35550000000000004
161,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,23,0.0325,0.7053750000000001
162,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,23,0.0325,0.453
163,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,23,0.0325,0.61
164,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,23,0.0325,0.65
165,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,23,0.0325,0.529
166,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,23,0.0325,0.704
167,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,23,0.0325,0.323
168,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,24,0.0325,0.681
169,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,24,0.0325,0.4733125
170,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,24,0.0325,0.634375
171,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,24,0.0325,0.65
172,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,24,0.0325,0.5533750000000001
173,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,24,0.0325,0.704
174,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,24,0.0325,0.35550000000000004
175,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,25,0.0325,0.681
176,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,25,0.0325,0.4733125
177,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,25,0.0325,0.634375
178,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,25,0.0325,0.65
179,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,25,0.0325,0.5533750000000001
180,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,25,0.0325,0.704
181,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,25,0.0325,0.35550000000000004
182,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,26,0.0325,0.681
183,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,26,0.0325,0.4733125
184,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,26,0.0325,0.634375
185,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,26,0.0325,0.65
186,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,26,0.0325,0.5533750000000001
187,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,26,0.0325,0.704
188,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,26,0.0325,0.323
189,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,27,0.0325,0.681
190,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,27,0.0325,0.4733125
191,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,27,0.0325,0.634375
192,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,27,0.0325,0.65
193,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,27,0.0325,0.529
194,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,27,0.0325,0.704
195,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,27,0.0325,0.35550000000000004
196,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,28,0.0325,0.681
197,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,28,0.0325,0.4733125
198,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,28,0.0325,0.634375
199,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,28,0.0325,0.65
200,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,28,0.0325,0.529
201,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,28,0.0325,0.704
202,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,28,0.0325,0.35550000000000004
203,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,29,0.0325,0.681
204,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,29,0.0325,0.4733125
205,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,29,0.0325,0.634375
206,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,29,0.0325,0.65
207,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,29,0.0325,0.529
208,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,29,0.0325,0.704
209,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,29,0.0325,0.323
210,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,30,0.0325,0.681
211,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,30,0.0325,0.4733125
212,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,30,0.0325,0.61
213,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,30,0.0325,0.65
214,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,30,0.0325,0.5533750000000001
215,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,30,0.0325,0.704
216,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,30,0.0325,0.35550000000000004
217,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,31,0.0325,0.681
218,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,31,0.0325,0.4733125
219,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,31,0.0325,0.61
220,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,31,0.0325,0.65
221,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,31,0.0325,0.5533750000000001
222,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,31,0.0325,0.704
223,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,31,0.0325,0.35550000000000004
224,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,32,0.0325,0.681
225,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,32,0.0325,0.4733125
226,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,32,0.0325,0.61
227,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,32,0.0325,0.65
228,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,32,0.0325,0.5533750000000001
229,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,32,0.0325,0.704
230,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,32,0.0325,0.323
231,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,33,0.0325,0.681
232,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,33,0.0325,0.4733125
233,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,33,0.0325,0.61
234,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,33,0.0325,0.65
235,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,33,0.0325,0.529
236,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,33,0.0325,0.704
237,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,33,0.0325,0.35550000000000004
238,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,34,0.0325,0.681
239,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,34,0.0325,0.4733125
240,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,34,0.0325,0.61
241,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,34,0.0325,0.65
242,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,34,0.0325,0.529
243,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,34,0.0325,0.704
244,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,34,0.0325,0.35550000000000004
245,0.0,0.0,0.48,0.52,"[2,5)",0.681,BASE,35,0.0325,0.681
